X,Y,OBJECTID,SysSchool,GradeRange,SchoolAddress,SchoolCity,STATE,SchoolZipCode,MailAddress,MailCity,MailZipCode,PrincipalName,PrincipalEmail,SchoolPhone,SchoolFax,longitude,latitude,Year,SchoolYear,SystemID,SystemName,SchoolID,SchoolName,Type,ENROLLMENT_COUNT,ENROLL_PERCENT_ASIAN,ENROLL_PERCENT_NATIVE,ENROLL_PERCENT_BLACK,ENROLL_PERCENT_HISPANIC,ENROLL_PERCENT_MULTIRACIAL,ENROLL_PERCENT_WHITE,ENROLL_PERCENT_MIGRANT,ENROLL_PERCENT_ED,ENROLL_PERCENT_SWD,ENROLL_PERCENT_LEP,ENROLL_PCT_ESOL,ENROLL_PCT_GIFTED,direct_cert_perc,pAbsent0_5,pAbsent6_15,pAbsent16P,Churn,TeacherCount,AvgExp,pYrsLt1,pYears1_10,pYears11_20,pYears21_30,pYearsGt30,Debt,GenAdmin,Instruction,Support,Ops,Media,PServices,Capital,SchoolAdmin,Food,Transport,TotalSpend,CCRPI,ClimateStar,NTestedELA3,Begin_CntELA3,Develop_CntELA3,Prof_CntELA3,Dist_CntELA3,pBeginELA3,pDevelopELA3,pProfELA3,pDistELA3,DevPlus_CntELA3,ProfPlus_CntELA3,pDevPlusELA3,pProfPlusELA3,NTestedELA5,Begin_CntELA5,Develop_CntELA5,Prof_CntELA5,Dist_CntELA5,pBeginELA5,pDevelopELA5,pProfELA5,pDistELA5,DevPlus_CntELA5,ProfPlus_CntELA5,pDevPlusELA5,pProfPlusELA5,NTestedMath3,Begin_CntMath3,Develop_CntMath3,Prof_CntMath3,Dist_CntMath3,pBeginMath3,pDevelopMath3,pProfMath3,pDistMath3,DevPlus_CntMath3,ProfPlus_CntMath3,pDevPlusMath3,pProfPlusMath3,NTestedMath5,Begin_CntMath5,Develop_CntMath5,Prof_CntMath5,Dist_CntMath5,pBeginMath5,pDevelopMath5,pProfMath5,pDistMath5,DevPlus_CntMath5,ProfPlus_CntMath5,pDevPlusMath5,pProfPlusMath5,NTestedELA8,BeginELA8_Cnt,DevelopELA8_Cnt,ProfELA8_Cnt,DistELA8_Cnt,NTestedMath8,BeginMath8_Cnt,DevelopMath8_Cnt,ProfMath8_Cnt,DistMath8_Cnt,pBeginELA8,pDevelopELA8,pProfELA8,pDistELA8,pBeginMath8,pDevelopMath8,pProfMath8,pDistMath8,DevPlusELA8_Cnt,ProfPlusELA8_Cnt,pDevPlusELA8,pProfPlusELA8,DevPlusMath8_Cnt,ProfPlusMath8_Cnt,pDevPlusMath8,pProfPlusMath8,NTestedAlgebraI,Begin_CntAlgebraI,Develop_CntAlgebraI,Prof_CntAlgebraI,Dist_CntAlgebraI,pBeginAlgebraI,pDevelopAlgebraI,pProfAlgebraI,pDistAlgebraI,DevPlus_CntAlgebraI,ProfPlus_CntAlgebraI,pDevPlusAlgebraI,pProfPlusAlgebraI,NTestedAmLit,Begin_CntAmLit,Develop_CntAmLit,Prof_CntAmLit,Dist_CntAmLit,pBeginAmLit,pDevelopAmLit,pProfAmLit,pDistAmLit,DevPlus_CntAmLit,ProfPlus_CntAmLit,pDevPlusAmLit,pProfPlusAmLit,NTestedAnalGeometry,Begin_CntAnalGeometry,Develop_CntAnalGeometry,Prof_CntAnalGeometry,Dist_CntAnalGeometry,pBeginAnalGeometry,pDevelopAnalGeometry,pProfAnalGeometry,pDistAnalGeometry,DevPlus_CntAnalGeometry,ProfPlus_CntAnalGeometry,pDevPlusAnalGeometry,pProfPlusAnalGeometry,NTestedBiology,Begin_CntBiology,Develop_CntBiology,Prof_CntBiology,Dist_CntBiology,pBeginBiology,pDevelopBiology,pProfBiology,pDistBiology,DevPlus_CntBiology,ProfPlus_CntBiology,pDevPlusBiology,pProfPlusBiology,NTestedCoordAlgebra,Begin_CntCoordAlgebra,Develop_CntCoordAlgebra,Prof_CntCoordAlgebra,Dist_CntCoordAlgebra,pBeginCoordAlgebra,pDevelopCoordAlgebra,pProfCoordAlgebra,pDistCoordAlgebra,DevPlus_CntCoordAlgebra,ProfPlus_CntCoordAlgebra,pDevPlusCoordAlgebra,pProfPlusCoordAlgebra,NTestedEcon,Begin_CntEcon,Develop_CntEcon,Prof_CntEcon,Dist_CntEcon,pBeginEcon,pDevelopEcon,pProfEcon,pDistEcon,DevPlus_CntEcon,ProfPlus_CntEcon,pDevPlusEcon,pProfPlusEcon,NTestedGeometry,Begin_CntGeometry,Develop_CntGeometry,Prof_CntGeometry,Dist_CntGeometry,pBeginGeometry,pDevelopGeometry,pProfGeometry,pDistGeometry,DevPlus_CntGeometry,ProfPlus_CntGeometry,pDevPlusGeometry,pProfPlusGeometry,NTestedLit9,Begin_CntLit9,Develop_CntLit9,Prof_CntLit9,Dist_CntLit9,pBeginLit9,pDevelopLit9,pProfLit9,pDistLit9,DevPlus_CntLit9,ProfPlus_CntLit9,pDevPlusLit9,pProfPlusLit9,NTestedPhysSci,Begin_CntPhysSci,Develop_CntPhysSci,Prof_CntPhysSci,Dist_CntPhysSci,pBeginPhysSci,pDevelopPhysSci,pProfPhysSci,pDistPhysSci,DevPlus_CntPhysSci,ProfPlus_CntPhysSci,pDevPlusPhysSci,pProfPlusPhysSci,NTestedUSHistory,Begin_CntUSHistory,Develop_CntUSHistory,Prof_CntUSHistory,Dist_CntUSHistory,pBeginUSHistory,pDevelopUSHistory,pProfUSHistory,pDistUSHistory,DevPlus_CntUSHistory,ProfPlus_CntUSHistory,pDevPlusUSHistory,pProfPlusUSHistory,NDropout712,pNDropout712,GraduationRate,NUMBER_OF_GRADUATES,pHopeEligible,chENROLLMENTCnt,pchENROLLMENTCnt,chCCRPI,chpProfPlusELA3,chpProfPlusMath3,chpProfPlusELA5,chpProfPlusMath5,chpELA8,chpProfPlusMath8,chpProfPlusAlgebraI,chpProfPlusAmLit,chpProfPlusAnalGeometry,chpProfPlusBiology,chpProfPlusCoordAlgebra,chpProfPlusEcon,chpProfPlusGeometry,chpProfPlusLit9,chpProfPlusPhysSci,chpProfPlusUSHistory,GlobalID,created_user,created_date,last_edited_user,last_edited_date
-82.3546465169999,31.7578970660001,1,6010103,09-12,482 Blackshear Hwy,Baxley,GA,31513-6708,482 Blackshear Hwy,Baxley,31513-6708,"Starr, Gene A.",gstarr@appling.k12.ga.us,912.367.8610,912.366.9877,-82.354643,31.757891,2019,2018-19,601,Appling County,103,Appling County High School,High School,970,1,0,22,12,3,61,5,90,13,2,1,6,32,46,37,17,11,59,17,0,29,32,31,9,0,0,6097,249,496,139,414,0,440,0,0,7835,76,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,331,79,128,102,22,24,39,31,7,252,124,76,37,216,48,71,78,19,22,33,36,9,168,97,78,45,,,,,,,,,,,,,,90,20,20,37,13,22,22,41,14,70,50,78,56,,,,,,,,,,,,,,192,36,55,81,20,19,29,42,10,156,101,81,53,264,65,91,94,14,25,35,36,5,199,108,75,41,261,44,93,98,26,17,36,38,10,217,124,83,48,258,77,78,79,24,30,30,31,9,181,103,70,40,187,31,60,76,20,17,32,41,11,156,96,83,51,15,2,90,222,42,-13,-1.32,-5,,,,,,,6,11,,0,,4,,15,9,-5,{BB3E5328-E6E4-4D7F-9CD5-FD8409118623},opendata@arc,2020/03/25 03:24:58,opendata@arc,2020/03/25 03:24:58
-82.354209516,31.7545560660001,2,6010177,03-05,680 Blackshear Hwy,Baxley,GA,31513-6709,680 Blackshear Hwy,Baxley,31513-6709,"Crosby, Debra",debra.crosby@appling.k12.ga.us,912.367.8640,912.367.8649,-82.354206,31.75455,2019,2018-19,601,Appling County,177,Appling County Elementary School,Elementary School,551,1,0,29,22,5,44,10,90,17,19,13,5,57,48,43,9,13,45,16,2,24,47,20,7,0,0,6587,202,229,170,132,0,574,0,0,7894,69,4,164,46,71,39,8,28,43,24,5,118,47,72,29,195,52,82,51,10,27,42,26,5,143,61,73,31,164,32,60,58,14,20,37,35,9,132,72,81,44,195,28,90,57,20,14,46,29,10,167,77,86,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,0.91,1,10,14,6,17,,,,,,,,,,,,,{46A257DC-82D3-4FFA-BB11-F0F6D5CEABE3},opendata@arc,2020/03/25 03:24:58,opendata@arc,2020/03/25 03:24:58
-82.3397635109999,31.723127059,3,6010195,06-08,2997 Blackshear Hwy,Baxley,GA,31513-4303,2997 Blackshear Hwy,Baxley,31513-4303,"Campbell, Cathy",Cathy.Campbell@appling.k12.ga.us,912.367.8630,912.367.8803,-82.33976,31.723121,2019,2018-19,601,Appling County,195,Appling County Middle School,Middle School,795,1,0,24,16,4,55,6,90,13,10,4,8,42,50,38,12,11,57,14,7,33,33,23,4,0,0,5832,69,201,182,229,0,371,0,0,6883,75,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,262,38,97,114,13,262,28,111,96,27,15,37,44,5,11,42,37,10,224,127,86,49,234,123,89,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,5.71,1,,,,,16,9,,,,,,,,,,,{0B4B625E-B016-4743-9DFE-FFB653A4DD13},opendata@arc,2020/03/25 03:24:58,opendata@arc,2020/03/25 03:24:58
-82.354170516,31.7547210660001,4,6010277,PK-02,678 Blackshear Hwy,Baxley,GA,31513-6709,678 Blackshear Hwy,Baxley,31513-6709,"Stewart, Cindy",Shelly.Roppe@appling.k12.ga.us,912.367.8642,912.367.8141,-82.354167,31.754715,2019,2018-19,601,Appling County,277,Appling County Primary School,Elementary School,516,1,0,25,24,4,45,11,90,16,21,20,2,56,40,47,13,17,50,16,6,26,34,32,2,0,0,7862,21,252,158,241,0,639,0,0,9172,60,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-56,-9.79,,,,,,,,,,,,,,,,,,{62359F96-2E49-424E-8D49-B050A999A3E1},opendata@arc,2020/03/25 03:24:58,opendata@arc,2020/03/25 03:24:58
-82.3617945239999,31.8761360930001,5,6011050,PK-05,344 Altamaha School Rd,Baxley,GA,31513-2670,344 Altamaha School Rd,Baxley,31513-2670,"Hollis, Rhonda",rhonda.hollis@appling.k12.ga.us,912.367.3713,912.367.2609,-82.361791,31.87613,2019,2018-19,601,Appling County,1050,Altamaha Elementary School,Elementary School,378,1,0,10,7,3,80,2,90,15,6,5,8,37,39,51,11,11,29,16,0,21,48,24,7,0,0,6393,16,308,238,179,0,588,0,0,7723,71,4,63,14,24,18,7,22,38,29,11,49,25,78,40,63,12,27,23,1,19,43,37,2,51,24,81,38,63,12,19,27,5,19,30,43,8,51,32,81,51,63,11,30,19,3,18,48,30,5,52,22,83,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,5.58,-9,15,14,-10,-6,,,,,,,,,,,,,{5EC49053-71B0-421A-89A0-3745645B058B},opendata@arc,2020/03/25 03:24:58,opendata@arc,2020/03/25 03:24:58
-82.247775479,31.6109580360001,6,6015050,PK-05,13396 Blackshear Hwy,Surrency,GA,31563-3114,13396 Blackshear Hwy,Surrency,31563-3114,"Kirkland, Scott", ,912.367.3250,912.367.0992,-82.247772,31.610952,2019,2018-19,601,Appling County,5050,Fourth District Elementary School,Elementary School,152,0,0,10,13,3,74,3,90,14,10,8,10,32,48,38,14,31,15,20,0,20,33,40,7,0,0,6749,14,348,235,353,0,997,0,0,8696,85,4,33,8,9,12,4,24,27,36,12,25,16,76,49,26,2,12,10,2,8,46,39,8,24,12,92,46,33,3,10,15,5,9,30,46,15,30,20,91,61,26,2,12,9,3,8,46,35,12,24,12,92,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-19,-11.11,22,35,55,14,19,,,,,,,,,,,,,{0290815F-75B4-4552-B98D-460E40BAAE7C},opendata@arc,2020/03/25 03:24:58,opendata@arc,2020/03/25 03:24:58
-82.849882642,31.320910951,7,6020103,09-12,145 Rebel Ln,Pearson,GA,31642-5535,145 Rebel Ln,Pearson,31642-5535,"Wilbanks, Melissa",mwilbanks@atkinson.k12.ga.us,912.422.3267,912.422.7889,-82.849879,31.320905,2019,2018-19,602,Atkinson County,103,Atkinson County High School,High School,478,0,0,17,37,1,45,5,80,13,4,3,6,34,67,26,7,9,32,14,6,34,28,28,3,0,1,5569,155,651,162,390,0,682,0,0,7611,77,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95,24,37,30,4,25,39,32,4,71,34,75,36,127,29,53,38,7,23,42,30,6,98,45,77,35,127,25,59,35,8,20,47,28,6,102,43,80,34,126,35,40,38,13,28,32,30,10,91,51,72,41,18,3,12,3,0,17,67,17,0,15,3,83,17,104,26,35,35,8,25,34,34,8,78,43,75,41,,,,,,,,,,,,,,110,11,38,48,13,10,35,44,12,99,61,90,55,129,21,40,61,7,16,31,47,5,108,68,84,53,124,29,51,37,7,23,41,30,6,95,44,77,35,,,90,106,48,20,4.36,-2,,,,,,,,6,5,0,-14,12,,29,19,6,{28EFF29E-7AB5-4799-94D8-C1A403238E59},opendata@arc,2020/03/25 03:24:58,opendata@arc,2020/03/25 03:24:58
-82.849882642,31.320910951,8,6020111,06-08,145 Rebel Ln,Pearson,GA,31642-5535,145 Rebel Ln,Pearson,31642-5535,"Holmes, Calandra",cholmes@atkinson.k12.ga.us,912.422.3267, ,-82.849879,31.320905,2019,2018-19,602,Atkinson County,111,Atkinson County Middle School,Middle School,374,0,0,14,42,2,42,8,86,16,17,5,4,42,52,40,8,15,29,12,3,48,31,14,3,0,1,5045,94,345,129,186,0,761,0,0,6561,74,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113,16,38,44,15,113,11,55,39,8,14,34,39,13,10,49,35,7,97,59,86,52,102,47,90,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4,-1.05,5,,,,,21,13,,,,,,,,,,,{31B637C2-6071-4656-B383-ABE43FC591CF},opendata@arc,2020/03/25 03:24:58,opendata@arc,2020/03/25 03:24:58
-83.053020701,31.338098949,9,6020187,PK-05,430 Vickers St S,Willacoochee,GA,31650-2313,430 South Vickers Street,Willachochee,31650,"Davis, Anthony",adavis@atkinson.k12.ga.us,912.534.5302,912.534.5337,-83.053017,31.338093,2019,2018-19,602,Atkinson County,187,Willacoochee Elementary School,Elementary School,162,0,0,27,27,0,46,10,90,6,19,10,1,64,56,32,12,20,16,18,0,25,25,50,0,0,3,7177,66,860,645,286,0,1112,0,0,10149,75,4,22,2,9,8,3,9,41,36,14,20,11,91,50,27,3,11,12,1,11,41,44,4,24,13,89,48,22,1,5,11,5,5,23,50,23,21,16,95,73,27,4,14,6,3,15,52,22,11,23,9,85,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-31,-16.06,-10,-18,5,11,-20,,,,,,,,,,,,,{5FCC7EB4-E06A-42DA-9155-A6578304C93C},opendata@arc,2020/03/25 03:24:58,opendata@arc,2020/03/25 03:24:58
-82.8553826419999,31.3058039480001,10,6020190,PK-05,563 King St N,Pearson,GA,31642-7444,563 King St N,Pearson,31642-7444,"Morris, Jarred", ,912.422.3882,912.422.7024,-82.855379,31.305798,2019,2018-19,602,Atkinson County,190,Pearson Elementary School,Elementary School,569,0,0,14,45,2,39,11,86,11,34,24,1,51,56,37,8,15,45,16,4,27,33,29,7,0,1,6556,87,378,241,217,0,554,0,0,8034,81,4,99,25,31,32,11,25,31,32,11,74,43,75,43,95,12,44,36,3,13,46,38,3,83,39,87,41,99,22,34,41,2,22,34,41,2,77,43,78,43,95,10,49,26,10,11,52,27,11,85,36,90,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-21,-3.55,7,7,-1,12,-5,,,,,,,,,,,,,{050B8AA1-3F59-4041-B270-DD35143B563D},opendata@arc,2020/03/25 03:24:58,opendata@arc,2020/03/25 03:24:58
