ID,Longitude,Latitude,School_Address,School_City,State,School_Zip_Code
1,-82.35464300000001,31.757890999999997,482 Blackshear Hwy,Baxley,GA,31513-6708
2,-82.354206,31.75455,680 Blackshear Hwy,Baxley,GA,31513-6709
3,-82.33976,31.723121000000003,2997 Blackshear Hwy,Baxley,GA,31513-4303
4,-82.354167,31.754715,678 Blackshear Hwy,Baxley,GA,31513-6709
5,-82.361791,31.87613,344 Altamaha School Rd,Baxley,GA,31513-2670
6,-82.247772,31.610952,13396 Blackshear Hwy,Surrency,GA,31563-3114
7,-82.849879,31.320905,145 Rebel Ln,Pearson,GA,31642-5535
8,-82.849879,31.320905,145 Rebel Ln,Pearson,GA,31642-5535
9,-83.05301700000001,31.338093,430 Vickers St S,Willacoochee,GA,31650-2313
10,-82.855379,31.305798,563 King St N,Pearson,GA,31642-7444
11,-82.479301,31.559106,251 Cumberland Rd,Alma,GA,31510-1680
12,-82.45849100000001,31.521948,1188 US Highway 1 S,Alma,GA,31510-3737
13,-82.459363,31.522088,1190 US Highway 1 S,Alma,GA,31510-3737
14,-82.455166,31.536540999999996,523 E 16th St,Alma,GA,31510-3013
15,-84.344278,31.311737,260 Ga Highway 37 SW,Newton,GA,39870-8212
16,-83.26674200000001,33.083434999999994,356 Blandy Rd NW,Milledgeville,GA,31061-8927
17,-83.258449,33.072068,155 Ga Highway 49 W,Milledgeville,GA,31061-3600
18,-83.264061,33.090377000000004,220 N Abc Dr,Milledgeville,GA,31061-1500
19,-83.27148199999999,33.079758,375 Blandy Rd NW,Milledgeville,GA,31061-8926
20,-83.268652,33.080359,372 Blandy Rd NW,Milledgeville,GA,31061-8927
21,-83.226685,33.018682,101 Carl Vinson Rd SE,Milledgeville,GA,31061-9781
22,-83.478538,34.312807,712 Thompson St,Homer,GA,30547-3116
23,-83.507992,34.330360999999996,180 Highway 51 S,Homer,GA,30547-2529
24,-83.498547,34.308640999999994,1486A Historic Homer Hwy,Homer,GA,30547-3112
25,-83.510075,34.330331,266 Highway 51 S,Homer,GA,30547-2514
26,-83.785507,33.948362,940 Haymon Morris Rd,Winder,GA,30680-7889
27,-83.738648,34.026253000000004,334 Rockwell Church Rd NW,Winder,GA,30680-2923
28,-83.789287,33.947639,1008 Haymon Morris Rd,Winder,GA,30680-7840
