ID,School_Name,System_ID,Type,School_Phone,Enrollment_Count,Teacher_Count,Teachers_Less_Than_1_Year_Experience_(%),Teachers_Between_1_and_10_Years_Experience_(%),Teachers_Between_11_and_20_Years_Experience_(%),Teachers Between_21_and_30_Years_Experience_(%),Teachers_Greater_Than_30_Years_Experience_(%)
1,Appling County High School,601,High School,912.367.8610,970.0,59.0,0.0,29.0,32.0,31.0,9.0
2,Appling County Elementary School,601,Elementary School,912.367.8640,551.0,45.0,2.0,24.0,47.0,20.0,7.0
3,Appling County Middle School,601,Middle School,912.367.8630,795.0,57.0,7.0,33.0,33.0,23.0,4.0
4,Appling County Primary School,601,Elementary School,912.367.8642,516.0,50.0,6.0,26.0,34.0,32.0,2.0
5,Altamaha Elementary School,601,Elementary School,912.367.3713,378.0,29.0,0.0,21.0,48.0,24.0,7.0
6,Fourth District Elementary School,601,Elementary School,912.367.3250,152.0,15.0,0.0,20.0,33.0,40.0,7.0
7,Atkinson County High School,602,High School,912.422.3267,478.0,32.0,6.0,34.0,28.0,28.0,3.0
8,Atkinson County Middle School,602,Middle School,912.422.3267,374.0,29.0,3.0,48.0,31.0,14.0,3.0
9,Willacoochee Elementary School,602,Elementary School,912.534.5302,162.0,16.0,0.0,25.0,25.0,50.0,0.0
10,Pearson Elementary School,602,Elementary School,912.422.3882,569.0,45.0,4.0,27.0,33.0,29.0,7.0
11,Bacon County Primary School,603,Elementary School,912.632.4765,468.0,40.0,0.0,25.0,28.0,45.0,3.0
12,Bacon County Middle School,603,Middle School,912.632.4662,494.0,36.0,0.0,25.0,42.0,33.0,0.0
13,Bacon County High School,603,High School,912.632.4414,591.0,42.0,7.0,24.0,41.0,17.0,12.0
14,Bacon County Elementary School,603,Elementary School,912.632.4133,495.0,36.0,0.0,31.0,22.0,42.0,6.0
15,Baker County K12 School,604,K12,229.734.5274,271.0,30.0,3.0,43.0,23.0,23.0,7.0
16,Oak Hill MS,605,Middle School,478.457.3370,1162.0,70.0,3.0,39.0,37.0,21.0,0.0
17,Baldwin High School,605,High School,478.453.6429,1204.0,73.0,3.0,40.0,32.0,19.0,7.0
18,Lakeview Academy,605,Elementary School,478.457.2967,680.0,36.0,3.0,44.0,33.0,17.0,3.0
19,Midway Hills Primary,605,Elementary School,478.457.2495,558.0,35.0,9.0,20.0,26.0,40.0,6.0
20,Lakeview Primary,605,Elementary School,478.457.3301,687.0,48.0,2.0,31.0,33.0,33.0,0.0
21,Midway Hills Academy,605,Elementary School,478.457.2440,564.0,41.0,5.0,29.0,37.0,27.0,2.0
22,Banks County Middle School,606,Middle School,706.677.2277,695.0,43.0,2.0,30.0,40.0,26.0,2.0
23,Banks County Elementary School,606,Elementary School,706.677.2308,606.0,47.0,0.0,30.0,32.0,32.0,6.0
24,Banks County High School,606,High School,706.677.2221,843.0,68.0,3.0,35.0,34.0,27.0,2.0
25,Banks County Primary School,606,Elementary School,706.677.2355,594.0,47.0,2.0,28.0,53.0,17.0,0.0
26,Apalachee High School,607,High School,770.586.5111,1887.0,112.0,8.0,35.0,41.0,15.0,1.0
27,County Line Elementary School,607,Elementary School,770.867.2902,521.0,45.0,4.0,29.0,31.0,31.0,4.0
28,Haymon-Morris Middle School,607,Middle School,678.963.0602,851.0,58.0,7.0,38.0,33.0,19.0,3.0
29,Bear Creek Middle School,607,Middle School,770.867.2116,751.0,55.0,4.0,36.0,47.0,13.0,0.0
30,Kennedy Elementary School,607,Elementary School,770.867.3182,840.0,64.0,3.0,47.0,31.0,16.0,3.0
31,Bramlett Elementary School,607,Elementary School,770.307.1627,662.0,49.0,2.0,14.0,49.0,29.0,6.0
32,Westside Middle School,607,Middle School,770.307.2972,788.0,55.0,2.0,51.0,38.0,7.0,2.0
33,Bethlehem Elementary School,607,Elementary School,770.867.2238,714.0,56.0,5.0,41.0,27.0,23.0,4.0
34,Russell Middle School,607,Middle School,770.867.8181,978.0,65.0,8.0,54.0,26.0,9.0,3.0
35,Yargo Elementary School,607,Elementary School,770.867.1147,806.0,60.0,3.0,27.0,37.0,32.0,2.0
36,Winder Elementary School,607,Elementary School,678.425.2194,622.0,52.0,4.0,62.0,25.0,8.0,2.0
37,Auburn Elementary School,607,Elementary School,770.963.7887,630.0,55.0,6.0,42.0,35.0,18.0,0.0
38,Winder-Barrow High School,607,High School,770.867.4519,2075.0,118.0,5.0,41.0,35.0,16.0,3.0
39,Holsenbeck Elementary School,607,Elementary School,770.307.1540,698.0,56.0,18.0,29.0,27.0,23.0,4.0
40,Statham Elementary School,607,Elementary School,770.725.7112,745.0,61.0,3.0,30.0,44.0,18.0,5.0
41,Woodland Middle School at Euharlee,608,Middle School,770.606.5871,717.0,45.0,0.0,44.0,31.0,22.0,2.0
42,Clear Creek Elementary School,608,Elementary School,770.606.5403,572.0,44.0,2.0,30.0,43.0,21.0,5.0
43,Adairsville High School,608,High School,770.606.4151,977.0,59.0,2.0,25.0,41.0,32.0,0.0
44,Pine Log Elementary,608,Elementary School,770.606.5864,367.0,32.0,3.0,22.0,59.0,16.0,0.0
45,Euharlee Elementary School,608,Elementary School,770.606.5872,416.0,39.0,0.0,23.0,54.0,18.0,5.0
46,Cass High School,608,High School,770.606.5800,1518.0,81.0,1.0,28.0,43.0,26.0,1.0
47,Cloverleaf Elementary,608,Elementary School,770.606.5847,628.0,55.0,4.0,38.0,40.0,15.0,4.0
48,White Elementary School,608,Elementary School,770.606.5869,523.0,39.0,0.0,46.0,36.0,18.0,0.0
49,Adairsville Elementary School,608,Elementary School,770.606.5840,668.0,49.0,0.0,35.0,49.0,14.0,2.0
50,Mission Road Elementary School,608,Elementary School,770.606.5863,442.0,33.0,0.0,24.0,33.0,33.0,9.0
51,Red Top Middle School,608,Middle School,770.606.5865,626.0,40.0,3.0,35.0,30.0,30.0,3.0
52,Cass Middle School,608,Middle School,770.606.5846,978.0,58.0,9.0,31.0,35.0,24.0,2.0
53,Allatoona Elementary School,608,Elementary School,770.606.5843,415.0,34.0,9.0,35.0,41.0,15.0,0.0
54,Woodland High School,608,High School,770.606.5870,1511.0,82.0,4.0,17.0,40.0,34.0,5.0
55,Kingston Elementary School,608,Elementary School,770.606.5850,460.0,42.0,7.0,31.0,38.0,19.0,5.0
56,Adairsville Middle School,608,Middle School,770.606.5842,786.0,45.0,4.0,31.0,42.0,22.0,0.0
57,Hamilton Crossing Elementary School,608,Elementary School,770.606.5849,526.0,45.0,7.0,33.0,29.0,31.0,0.0
58,Taylorsville Elementary School,608,Elementary School,770.606.5867,476.0,37.0,0.0,30.0,35.0,35.0,0.0
59,Emerson Elementary School,608,Elementary School,770.606.5848,367.0,36.0,3.0,28.0,42.0,22.0,6.0
60,Ben Hill Elementary School,609,Elementary School,229.409.5586,722.0,47.0,4.0,36.0,38.0,19.0,2.0
61,Ben Hill County Primary School,609,Elementary School,229.409.5592,672.0,57.0,2.0,28.0,25.0,33.0,12.0
62,Fitzgerald High School,609,High School,229.409.5530,824.0,56.0,5.0,18.0,36.0,36.0,5.0
63,Ben Hill County Middle School,609,Middle School,229.409.5578,728.0,50.0,4.0,30.0,26.0,30.0,10.0
65,Berrien High School,610,High School,229.686.7428,804.0,55.0,2.0,27.0,36.0,31.0,4.0
66,Berrien Academy Performance Learning Center,610,High School,229.686.6576,66.0,5.0,0.0,20.0,80.0,0.0,0.0
67,Berrien Middle School,610,Middle School,229.686.2021,761.0,50.0,4.0,36.0,30.0,26.0,4.0
68,Berrien Elementary School,610,Elementary School,229.686.2939,698.0,49.0,8.0,37.0,25.0,27.0,4.0
69,Berrien Primary School,610,Elementary School,229.686.7438,681.0,56.0,5.0,30.0,27.0,32.0,5.0
70,Skyview Elementary School,611,Elementary School,478.779.3956,415.0,32.0,3.0,22.0,28.0,41.0,6.0
71,Burdell Elementary School,611,Elementary School,478.779.2937,453.0,38.0,3.0,29.0,42.0,16.0,11.0
72,Howard High School,611,High School,478.779.7852,1200.0,72.0,11.0,39.0,28.0,19.0,3.0
73,Ballard Hudson Middle School,611,Middle School,478.779.3390,701.0,46.0,33.0,46.0,13.0,9.0,0.0
74,Bruce Elementary School,611,Elementary School,478.779.4558,389.0,28.0,18.0,43.0,25.0,11.0,4.0
75,Central High School,611,High School,478.779.2292,1044.0,65.0,12.0,48.0,28.0,9.0,3.0
76,Westside High School,611,High School,478.779.3800,1161.0,67.0,16.0,39.0,31.0,10.0,3.0
77,Vineville Academy,611,Elementary School,478.779.3226,512.0,36.0,11.0,31.0,25.0,19.0,14.0
78,Rutland High School,611,High School,478.779.3041,948.0,60.0,2.0,23.0,55.0,17.0,3.0
79,Howard Middle School,611,Middle School,478.779.3454,1009.0,59.0,10.0,34.0,37.0,15.0,3.0
80,Northeast High School,611,High School,478.779.4157,729.0,46.0,9.0,50.0,30.0,11.0,0.0
81,Miller Magnet Middle School,611,Middle School,478.779.4029,582.0,39.0,5.0,44.0,28.0,23.0,0.0
82,Rutland Middle School,611,Middle School,478.779.4369,821.0,54.0,7.0,39.0,24.0,30.0,0.0
83,Price Academy,611,Middle School,478.751.2800,28.0,4.0,50.0,50.0,0.0,0.0,0.0
84,Williams Elementary School,611,Elementary School,478.779.3660,303.0,25.0,20.0,40.0,12.0,24.0,4.0
85,Southwest High School,611,High School,478.779.4459,874.0,49.0,14.0,33.0,37.0,12.0,4.0
86,Rosa Taylor Elementary School,611,Elementary School,478.779.3563,535.0,40.0,8.0,33.0,35.0,18.0,8.0
87,Weaver Middle School,611,Middle School,478.779.4630,940.0,53.0,6.0,49.0,32.0,11.0,2.0
